Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
"LIVE: Xi Jinping Arrives in Moscow for State Visit, Great Patriotic War Victory Celebrations",https://www.youtube.com/watch?v=MRN3ajR_iFI,0.017902,0.014975,0.003035,0.500877,3.504492,273.528927,2025-05-07 16:19:24,1731,0.0235,2589.0000,0.0256,110286,2589,0,236,2825,311557950
LIVE: Launch of China's Shenzhou-18 Manned Spacecraft,https://www.youtube.com/watch?v=AOlSv7rdLDI,0.015206,0.010292,0.003505,0.499772,1.406641,166.008033,2024-04-25 15:35:32,14115,0.0169,2194.0000,0.0169,129524,2194,0,0,2194,284175656
LIVE: Launch of China's Shenzhou-21 Manned Spacecraft,https://www.youtube.com/watch?v=QIHQpGeg9wM,0.016129,0.009893,0.003245,0.500581,5.860167,708.304304,2025-10-31 16:32:00,12176,0.0150,2397.0000,0.0165,160210,2397,0,253,2650,424556500
LIVE: China's Chang'e-6 Returns to Earth,https://www.youtube.com/watch?v=TrFGMaB9kjo,0.015597,0.008240,0.003536,0.500623,1.714622,238.806724,2024-06-25 18:26:17,1911,0.0126,2172.0000,0.0144,171728,2172,0,293,2465,423309520
LIVE: Putin Arrives in Beijing for State Visit to China,https://www.youtube.com/watch?v=RtvQFw4MjY8,0.182428,0.005967,0.000330,0.500532,23.085065,4493.510200,2024-05-15 20:40:59,1396,0.0092,31344.0000,0.0103,3415136,31344,0,3745,35089,119833707104
LIVE: China's Shenzhou-17 Crew Returns to Earth,https://www.youtube.com/watch?v=wq1PP1OgkD4,0.021117,0.004557,0.003278,0.500109,1.667482,432.899265,2024-04-30 10:57:13,6720,0.0071,2370.0000,0.0077,335679,2370,0,215,2585,867730215
