Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
Solstice and Equinox - Sixty Symbols,https://www.youtube.com/watch?v=s_NN8pZxTP8,0.009838,0.010866,0.001787,0.501454,0.514300,52.363929,2011-06-16 09:13:08,709,0.0165,4734.0000,0.0196,286561,4734,0,894,5628,1612765308
How Many Calories are on a Smudgy Screen?,https://www.youtube.com/watch?v=MVpkeBYZOrE,0.025852,0.011167,0.000130,0.501054,10.001774,1018.618641,2012-12-24 17:52:16,382,0.0175,87710.0000,0.0196,5006641,87710,0,10609,98319,492247936479
What Is The Earth Worth?,https://www.youtube.com/watch?v=nt6ab7BTlgE,0.058689,0.011362,0.000046,0.500653,33.645341,3441.358729,2014-08-28 11:57:28,797,0.0182,270181.0000,0.0196,14809455,270181,0,19395,289576,4288462741080
SCIENCE! What is the Rarest Precious Metal?,https://www.youtube.com/watch?v=3_7KYoO5qHk,0.050939,0.011249,0.000055,0.500799,23.993745,2458.888101,2012-07-03 19:06:48,431,0.0179,224169.0000,0.0195,12513469,224169,0,20042,244211,3055926777959
How a Microwave Oven Works,https://www.youtube.com/watch?v=kp33ZprO0Ck,0.027352,0.011502,0.000115,0.500362,10.242299,1050.290227,2012-06-26 11:00:10,311,0.0188,100468.0000,0.0195,5352714,100468,0,3929,104397,558807283458
SOUNDS.,https://www.youtube.com/watch?v=ghy-FMZSJR0,0.021581,0.011160,0.000168,0.500745,6.771269,700.918470,2011-12-03 21:53:33,371,0.0178,66208.0000,0.0193,3716242,66208,0,5593,71801,266829891842
Travel INSIDE a Black Hole,https://www.youtube.com/watch?v=3pAnRKD4raY,0.121303,0.011004,0.000022,0.500775,61.764114,6472.871712,2012-03-07 04:54:38,645,0.0175,591009.0000,0.0191,33708567,591009,0,52284,643293,21684485191131
Will We Ever Visit Other Stars?,https://www.youtube.com/watch?v=lD08CuUi_Ek,0.062419,0.010684,0.000046,0.501011,31.030924,3303.736399,2013-02-01 16:54:32,770,0.0168,269989.0000,0.0188,16109574,269989,0,32634,302623,4875127612602
FART SCIENCE,https://www.youtube.com/watch?v=Zt9rvaijpPY,0.018834,0.010308,0.000218,0.501275,5.473151,593.831137,2012-01-20 00:55:44,444,0.0159,49498.0000,0.0184,3120484,49498,0,8022,57520,179490239680
Moving Illusions,https://www.youtube.com/watch?v=Iw8idyw_N6Q,0.067820,0.010789,0.000041,0.500446,35.640909,3875.672496,2013-12-10 17:39:01,647,0.0175,309513.0000,0.0184,17689101,309513,0,15826,325339,5754954430239
How Many Photos Have Been Taken?,https://www.youtube.com/watch?v=4e_kz79tjb8,0.024592,0.010235,0.000143,0.500840,8.747933,978.988338,2012-11-10 12:42:36,387,0.0162,78551.0000,0.0179,4855139,78551,0,8216,86767,421265845613
Hard drive teardown,https://www.youtube.com/watch?v=Wiy_eHdj8kg,0.012698,0.010476,0.000483,0.500382,1.965385,220.377319,2011-06-05 05:08:05,304,0.0170,20573.0000,0.0178,1208474,20573,0,981,21554,26047448596
What Color Is A Mirror?,https://www.youtube.com/watch?v=-yrZpTHBEss,0.068085,0.010025,0.000044,0.500754,30.961352,3552.587793,2012-08-03 23:16:51,302,0.0159,286055.0000,0.0174,17968643,286055,0,27143,313198,5627743050314
WHY IS THERE A MOON? .... and more!,https://www.youtube.com/watch?v=YBi6gUbsz-E,0.020835,0.009668,0.000190,0.501233,6.212682,717.178127,2011-08-17 21:22:01,350,0.0148,57581.0000,0.0173,3879921,57581,0,9639,67220,260808289620
The Cognitive Tradeoff Hypothesis,https://www.youtube.com/watch?v=ktkjUjcZid0,0.078317,0.010058,0.000037,0.500498,65.936993,7666.445895,2018-12-05 17:00:07,1462,0.0162,340743.0000,0.0172,21030320,340743,0,21008,361751,7607739290320
What's The Most Dangerous Place on Earth?,https://www.youtube.com/watch?v=1T4XMNN4bNM,0.086656,0.009780,0.000035,0.500681,40.924887,4829.218526,2013-01-20 17:02:33,568,0.0156,367865.0000,0.0169,23606005,367865,0,32229,400094,9444620964470
Why Do We Kiss?,https://www.youtube.com/watch?v=ixQbCXLUUj8,0.109559,0.009643,0.000028,0.500666,53.240703,6374.273842,2013-05-01 00:32:35,736,0.0154,469088.0000,0.0167,30519067,469088,0,40728,509816,15559108661672
Water Is Amazing -- World Water Day!,https://www.youtube.com/watch?v=9m3dQC6IfwY,0.015231,0.009560,0.000312,0.500754,3.547862,425.664258,2012-03-23 00:18:58,355,0.0151,33442.0000,0.0167,2209989,33442,0,3397,36839,81413784771
How High Can We Build?,https://www.youtube.com/watch?v=GJ4Qp2xeRds,0.105240,0.009110,0.000030,0.500582,45.106879,5733.866199,2012-06-03 18:04:34,607,0.0146,427571.0000,0.0157,29352346,427571,0,34243,461814,13555324315644
This Is Not Yellow,https://www.youtube.com/watch?v=R3unPcJDbCc,0.085383,0.008923,0.000038,0.500636,36.068389,4661.311959,2012-09-02 23:10:49,429,0.0142,332802.0000,0.0155,23436642,332802,0,29894,362696,8500376306832
"Nerd Wars WTF 2: Snarf, Ewoks, Dr Doom, Flash, Sonic and more",https://www.youtube.com/watch?v=ok4wZONsvSk,0.006015,0.007175,0.008857,0.501333,0.092009,13.195798,2010-11-05 19:15:16,352,0.0099,746.0000,0.0139,75151,746,0,301,1047,78683097
Schlieren photography of moving air,https://www.youtube.com/watch?v=lSFwH0BVd3Q,0.007363,0.007768,0.002286,0.500720,0.318067,46.150455,2008-11-01 09:38:48,342,0.0121,3579.0000,0.0138,296723,3579,0,510,4089,1213300347
Powers of Ten™ (1977),https://www.youtube.com/watch?v=0fKBhvDjuy0,0.037061,0.007490,0.000104,0.500343,10.293011,1608.067774,2010-08-27 03:56:22,541,0.0121,112256.0000,0.0128,9271650,112256,0,6436,118692,1100470681800
