Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
What Did You See Before You Were Born?,https://www.youtube.com/watch?v=6AjM4mtNCQM,0.058343,0.053150,0.000011,0.500608,528.536097,11869.296507,2023-01-02 21:24:26,0.0878,1303668.0000,0.0891,14840997,1303668,0,18061,1321729,19615776123813
The Real Reason Flames Don't Have Shadows,https://www.youtube.com/watch?v=qrWcjTSV6HA,0.048172,0.053171,0.000035,0.500384,168.290019,3788.081939,2023-06-03 04:00:27,0.0881,366724.0000,0.0889,4163457,366724,0,3208,369932,1540195974924
Hybrid Illusions #shorts,https://www.youtube.com/watch?v=-nNiTn0_41g,0.048719,0.053105,0.000031,0.500422,111.404836,2507.860033,2021-03-24 21:48:29,0.0880,419160.0000,0.0888,4763309,419160,0,4033,423193,2015799025637
The Best Sundial,https://www.youtube.com/watch?v=_bt-3ybbZrM,0.049377,0.052937,0.000026,0.500325,467.281829,10590.498718,2024-12-14 13:49:38,0.0876,499716.0000,0.0882,5704938,499716,0,3718,503434,2872059757092
The Pioneer Puzzle,https://www.youtube.com/watch?v=pnt-GwDokts,0.048852,0.052610,0.000028,0.500337,265.780752,6051.889894,2023-12-30 14:28:54,0.0872,468742.0000,0.0878,5378056,468742,0,3633,472375,2540459203000
The Smell of Hell,https://www.youtube.com/watch?v=W_C0HSlaQww,0.049271,0.052515,0.000026,0.500408,271.572431,6189.085076,2023-10-26 21:01:25,0.0869,513003.0000,0.0878,5900579,513003,0,4822,517825,3055467320675
Let's Watch A Minute Hand For One Minute,https://www.youtube.com/watch?v=VixkA3P-ULE,0.045551,0.052057,0.000058,0.500978,92.471673,2111.261976,2023-04-02 17:42:19,0.0856,209824.0000,0.0876,2450168,209824,0,4806,214630,525879557840
This Book Has No Words,https://www.youtube.com/watch?v=PoY0InCTRlg,0.051763,0.052459,0.000018,0.500213,561.583372,12851.661783,2024-08-07 22:08:28,0.0870,745870.0000,0.0874,8576404,745870,0,3661,749531,6428280666524
How To Spell Diarrhea,https://www.youtube.com/watch?v=VJruAcrkxug,0.046106,0.052019,0.000048,0.500603,107.671733,2470.456131,2023-01-30 23:32:15,0.0860,259557.0000,0.0872,3019589,259557,0,3652,263209,794783001101
Time,https://www.youtube.com/watch?v=jEIfKpzpo54,0.045359,0.051764,0.000057,0.501007,108.749986,2496.601216,2023-09-01 18:06:55,0.0851,214267.0000,0.0871,2517837,214267,0,5082,219349,552285028113
The People Who Were Turned Into Paint,https://www.youtube.com/watch?v=ku_porh9gNw,0.047489,0.051910,0.000033,0.500294,176.756397,4079.198507,2023-05-20 18:19:23,0.0861,390600.0000,0.0867,4538097,390600,0,2681,393281,1784747326257
Some Surprising Eponyms,https://www.youtube.com/watch?v=6uCop3Ug5OQ,0.050107,0.051279,0.000020,0.500423,481.549076,11244.457623,2024-07-04 17:57:58,0.0848,668942.0000,0.0857,7888123,668942,0,6682,675624,5329405213752
Human Cooling: is it the thermometers?,https://www.youtube.com/watch?v=nenutNNJXCg,0.045062,0.050897,0.000051,0.500811,99.715490,2332.262266,2022-12-29 18:38:14,0.0839,245422.0000,0.0855,2925786,245422,0,4760,250182,731978993052
Stacking Tops #shorts,https://www.youtube.com/watch?v=69Nlu9W1X2s,0.044516,0.050631,0.000057,0.501118,59.524325,1393.735629,2021-04-30 21:30:15,0.0832,215894.0000,0.0854,2595644,215894,0,5817,221711,575482826884
The Day After The Moon Landing,https://www.youtube.com/watch?v=So5uFadFegI,0.050397,0.050816,0.000019,0.500746,301.985472,7080.329181,2023-02-11 00:14:55,0.0838,718755.0000,0.0853,8576051,718755,0,12804,731559,6273887293509
The Kennedy Coincidences,https://www.youtube.com/watch?v=Oa3k7RLZCUE,0.044787,0.050839,0.000049,0.500821,676.545219,15977.192800,2025-11-25 20:41:05,0.0830,255271.0000,0.0847,3073993,255271,0,5061,260332,800258745676
How Cousins Work,https://www.youtube.com/watch?v=ehhDp_MI_1w,0.048060,0.050719,0.000025,0.500304,279.552893,6604.219000,2023-11-11 20:56:48,0.0840,520317.0000,0.0847,6190715,520317,0,3781,524098,3244541350070
"Sorry, Jennifer 😬",https://www.youtube.com/watch?v=EwqXqGwlzi4,0.044916,0.050509,0.000048,0.500366,139.949257,3317.490831,2023-11-17 22:50:27,0.0836,258397.0000,0.0844,3089609,258397,0,2274,260671,805371467639
We Still Can't Explain This Illusion,https://www.youtube.com/watch?v=QEKQVV371EU,0.046108,0.050207,0.000034,0.500647,166.408105,3953.420219,2023-03-27 23:23:03,0.0829,382176.0000,0.0842,4610820,382176,0,5982,388158,1789726669560
Etch-A-Sketch Theory,https://www.youtube.com/watch?v=0_G7clP-vls,0.045399,0.050325,0.000040,0.500435,210.057311,4995.890762,2024-05-09 18:04:30,0.0832,314932.0000,0.0841,3784425,314932,0,3307,318239,1204351627575
Farts Are Limitless #shorts,https://www.youtube.com/watch?v=KdVaAP4mh08,0.045707,0.050014,0.000036,0.500604,99.889230,2381.968062,2021-06-15 00:54:21,0.0827,357796.0000,0.0839,4328567,357796,0,5245,363041,1571447292247
The Only Dog Still Alive From The 90s,https://www.youtube.com/watch?v=iV_VB05iT9k,0.050634,0.050248,0.000017,0.500328,549.569738,13109.620859,2024-06-24 19:02:12,0.0832,775863.0000,0.0838,9327069,775863,0,6138,782001,7293777285069
Have We Ever All BLINKED At The Same Time?,https://www.youtube.com/watch?v=RHmnJiF67zc,0.054905,0.049916,0.000012,0.500660,846.566470,20249.217473,2024-07-08 18:05:22,0.0823,1162325.0000,0.0836,14123970,1162325,0,18646,1180971,16679998974870
Easy Photography Life Hack!,https://www.youtube.com/watch?v=tBFErdYD1wU,0.056045,0.049693,0.000011,0.500544,668.487611,16070.610209,2023-10-17 22:16:16,0.0821,1269768.0000,0.0832,15465274,1269768,0,16846,1286614,19897838042236
Bubble Gum Color Science,https://www.youtube.com/watch?v=cV1rhDVqB6E,0.047676,0.049751,0.000024,0.500340,383.735724,9243.423223,2024-06-15 09:13:28,0.0823,548708.0000,0.0830,6663365,548708,0,4543,553251,3686513349615
The Puzzle I Was Never Able To Solve,https://www.youtube.com/watch?v=r57QMWdG1Uo,0.053165,0.048671,0.000013,0.500718,734.845883,18007.949285,2024-05-23 20:32:23,0.0802,1073330.0000,0.0816,13387197,1073330,0,19245,1092575,14626516762275
