Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
"LES PIRE SALARIÉS DE L'ENTREPRISE (avec michou, aneyaris, grandingo...)",https://www.youtube.com/watch?v=DtOs3F6yX2Y,0.049785,0.024512,0.000739,0.500116,10.522893,516.600054,2024-10-09 16:00:20,925,0.0404,12787.0000,0.0407,316306,12787,0,98,12885,4075602810
CE VOYAGE A CHANGÉ MA VIE (VLOG EN AFRIQUE DU SUD),https://www.youtube.com/watch?v=XxvmhBcEW0o,0.078885,0.024505,0.000403,0.500332,46.983966,2315.486680,2025-09-14 17:31:53,3416,0.0399,25136.0000,0.0406,630323,25136,0,443,25579,16123032017
JE DÉCOUVRE UNE ILE INCROYABLE ! (VLOG A LA RÉUNION),https://www.youtube.com/watch?v=icV7iDMhRi4,0.319289,0.023463,0.000095,0.500341,172.602246,8853.066610,2025-06-15 17:29:12,3693,0.0383,123163.0000,0.0390,3215632,123163,0,2222,125385,403192018320
ON AFFRONTE NOTRE PLUS GRANDE PEUR (FEAT.@Pidi_meg ),https://www.youtube.com/watch?v=TlmYP8BspZs,0.150324,0.023178,0.000204,0.500362,59.558275,3083.035542,2025-03-14 17:00:38,1704,0.0379,53300.0000,0.0386,1406611,53300,0,1045,54345,76442274795
ON TOMBE EN PANNE AU MILIEU D'UN FLEUVE (Vlog vietnam),https://www.youtube.com/watch?v=K2NgsXz_8Hs,0.088182,0.022526,0.000374,0.500207,73.762600,4000.158398,2025-12-08 17:00:07,3243,0.0364,27285.0000,0.0369,749000,27285,0,337,27622,20688878000
JE FAIS UNE CHUTE DE FOU À DEUX DOIGTS DE FINIR EN CIVIÈRE #2,https://www.youtube.com/watch?v=0ez3Jxq6cCc,0.092457,0.019953,0.000382,0.500167,28.429539,1718.274373,2025-02-24 17:00:01,1324,0.0327,26661.0000,0.0331,814879,26661,0,303,26964,21972397356
J’avais besoin de prendre une PAUSE…,https://www.youtube.com/watch?v=PSh4fBfX0KM,0.129385,0.020110,0.000273,0.500228,166.205266,10275.777502,2026-02-15 17:00:28,1040,0.0319,38719.0000,0.0323,1215032,38719,0,585,39304,47755617728
JE FAIS DU BATEAU DANS UNE VILLE INONDÉE !,https://www.youtube.com/watch?v=_D-CaxKjPMk,0.125213,0.019399,0.000282,0.500130,37.762762,2349.865389,2025-01-31 17:00:44,961,0.0319,37294.0000,0.0321,1170802,37294,0,335,37629,44056108458
"Dans 10H, cette PIÈCE EXPLOSE !",https://www.youtube.com/watch?v=fTJ90DUgtSU,0.272735,0.019591,0.000133,0.500232,376.180944,23928.238395,2026-02-18 18:09:16,5359,0.0310,85355.0000,0.0314,2756403,85355,0,1312,86667,238889178801
EN IMMERSION DANS LE QUARTIER LE PLUS DANGEREUX DE NEW YORK ft. Raska,https://www.youtube.com/watch?v=ZBehsL1OszU,0.117634,0.018610,0.000316,0.500249,78.278823,5132.426324,2025-11-11 19:11:47,3869,0.0300,32946.0000,0.0305,1099115,32946,0,580,33526,36848929490
