Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
46000% SPORT #8 - Le Mentor (feat. Mister V),https://www.youtube.com/watch?v=mVP42Z_7S5M,0.017561,0.011081,0.000216,0.500102,7.006787,756.072525,2016-06-30 16:08:49,0.0183,50201.0000,0.0185,2741669,50201,0,614,50815,139317910235
"La Beauféthie (avec Mister V, Monsieur Poulpe et Gaël Mectoob)",https://www.youtube.com/watch?v=BD8wjrUSeqQ,0.042011,0.010825,0.000063,0.500196,22.643339,2488.010490,2014-07-04 13:58:13,0.0178,192838.0000,0.0182,10831029,192838,0,4307,197145,2135283212205
InstaBonus #5 - Best Of des mes Instavidéos/Vines,https://www.youtube.com/watch?v=zgjWrjDT_cE,0.014200,0.010324,0.000330,0.500170,3.748539,431.990532,2014-09-18 17:42:54,0.0170,31377.0000,0.0174,1847681,31377,0,688,32065,59245891265
MISTER V - LA POLICE,https://www.youtube.com/watch?v=sFJXBtNvPQY,0.097923,0.010258,0.000027,0.500191,56.048241,6498.038252,2014-01-26 17:58:57,0.0169,494554.0000,0.0173,29319941,494554,0,11238,505792,14829791598272
LES JONES - BURGERS,https://www.youtube.com/watch?v=ws3WGmINlIg,0.050062,0.010263,0.000054,0.500130,91.829986,10736.781700,2022-12-12 17:00:37,0.0168,229662.0000,0.0171,13637457,229662,0,3615,233277,3181305056589
MISTER V - LE PERMIS DE CONDUIRE,https://www.youtube.com/watch?v=mqKzk_Fgx5w,0.045671,0.009930,0.000062,0.500375,19.630285,2323.576196,2011-12-15 18:32:08,0.0161,198220.0000,0.0169,12280330,198220,0,9275,207495,2548107073350
MISTER V - PLANTER LES CHOUX (COCO REMIX),https://www.youtube.com/watch?v=kH6rS6yb3wI,0.038873,0.009865,0.000074,0.500211,20.388146,2454.245683,2015-03-13 18:53:25,0.0162,162916.0000,0.0166,10065068,162916,0,4310,167226,1683141061368
MISTER V - GANG (feat. DOSSEH),https://www.youtube.com/watch?v=1esyx2sHsuk,0.057906,0.009855,0.000047,0.500172,58.194973,7042.041791,2020-01-31 09:47:53,0.0162,263931.0000,0.0165,16312629,263931,0,5681,269612,4398080529948
MISTER V vs GRADUR - Tournoi FIFA 16,https://www.youtube.com/watch?v=8RK6HPwndwc,0.020251,0.009620,0.000175,0.500333,8.483205,1038.884275,2015-10-21 14:50:09,0.0156,63070.0000,0.0163,4030095,63070,0,2746,65816,265244732520
MISTER V - LE RNB,https://www.youtube.com/watch?v=gjoZc5c1eUs,0.052498,0.009615,0.000054,0.500296,25.822971,3171.020225,2013-10-25 16:59:23,0.0157,229134.0000,0.0163,14603066,229134,0,8703,237837,3473149408242
"AVENGERS Version Youtubeurs (Mister V, Natoo, Squeezie, Norman, Hugo, Cyprien)",https://www.youtube.com/watch?v=EFfD7Ub2SOY,0.039794,0.009519,0.000074,0.500298,20.769451,2576.066759,2015-04-21 15:08:38,0.0155,162444.0000,0.0161,10464602,162444,0,6296,168740,1765796941480
NBA2K14 - Mister V contre CodJordan23 (All Star Game),https://www.youtube.com/watch?v=Knrui6Z2Lhw,0.016198,0.009344,0.000252,0.500251,4.875948,617.267878,2014-02-15 17:15:59,0.0153,42350.0000,0.0158,2772861,42350,0,1456,43806,121467948966
MISTER V - TROUVER UN JOB,https://www.youtube.com/watch?v=OcN-y3x3xus,0.036484,0.009249,0.000084,0.500374,14.598783,1852.574960,2012-06-14 16:56:43,0.0150,141861.0000,0.0158,9453996,141861,0,7138,148999,1408635950004
