Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
Xi Inspects PLA Garrison in Macao,https://www.youtube.com/watch?v=JLpz_uedgzg,0.015203,0.012995,0.004199,0.501285,1.907683,166.416440,2024-12-20 15:27:56,323,0.0198,1782.0000,0.0229,90070,1782,0,282,2064,185904480
LIVE: Flag-raising Ceremony at Tian'anmen Square on China's National Day,https://www.youtube.com/watch?v=IC1_-XHf3mA,0.013194,0.013214,0.006815,0.501042,2.287017,199.502712,2025-10-01 10:18:15,635,0.0198,1015.0000,0.0229,51162,1015,0,157,1172,59961864
Xi Receives Credentials of New Ambassadors to China,https://www.youtube.com/watch?v=df5K6WAa6cA,0.011505,0.013166,0.018120,0.499651,0.324086,28.270105,2024-12-12 15:20:57,321,0.0204,317.0000,0.0229,15527,317,0,38,355,5512085
Xi Hosts Welcome Banquet for Guests Attending SCO Tianjin Summit,https://www.youtube.com/watch?v=o4ArZxoiVfc,0.012162,0.013578,0.012513,0.499661,0.917637,80.626674,2025-08-31 17:25:57,342,0.0214,495.0000,0.0227,23152,495,0,31,526,12177952
独家视频丨习近平同沙特王储兼首相穆罕默德举行会谈,https://www.youtube.com/watch?v=ewmZCR8jRYA,0.018098,0.012834,0.002724,0.501009,1.275106,113.616882,2022-12-09 01:29:59,414,0.0201,2929.0000,0.0224,145863,2929,0,344,3273,477409599
"China's First Cross-Boundary National Games Opens with Splendor, Unity",https://www.youtube.com/watch?v=o-DE_E0DvG0,0.011230,0.013335,0.023152,0.498799,0.594147,52.909107,2025-11-10 14:24:36,505,0.0205,235.0000,0.0224,11443,235,0,21,256,2929408
LIVE: China Launches Cargo Spacecraft Tianzhou-8,https://www.youtube.com/watch?v=05i6GeUVAOQ,0.012927,0.013231,0.007872,0.499986,0.784420,70.177806,2024-11-15 15:43:05,2746,0.0212,857.0000,0.0223,40438,857,0,46,903,36515514
LIVE: The 2026 Humanoid Robot Half-Marathon,https://www.youtube.com/watch?v=Js34MlWS-SU,0.011773,0.015102,0.019551,0.498352,2.600783,232.681029,2026-04-19 17:45:40,12829,0.0221,289.0000,0.0223,13062,289,0,2,291,3801042
LIVE: Special Coverage Of China's 80th Victory Anniversary Commemorative Gala,https://www.youtube.com/watch?v=SmT154dAxaU,0.011751,0.013681,0.020364,0.498188,0.486252,43.618228,2025-09-04 01:46:00,3036,0.0222,275.0000,0.0222,12379,275,0,0,275,3404225
Xi Extends Festive Greetings Ahead of Chinese New Year During Inspection Trip,https://www.youtube.com/watch?v=72qsyyznfRE,0.021283,0.012709,0.002020,0.501239,4.638538,417.569128,2025-01-24 16:23:27,373,0.0195,4120.0000,0.0222,211371,4120,0,575,4695,992386845
China Holds Concert to Mark 75th Founding Anniversary of PRC,https://www.youtube.com/watch?v=iPUSQtVBmmQ,0.011688,0.012820,0.012862,0.499985,0.424830,38.329458,2024-09-30 06:35:52,578,0.0201,479.0000,0.0221,23864,479,0,49,528,12600192
"Xi Urges Strategic Missile Troops to Enhance Deterrence, Combat Capabilities",https://www.youtube.com/watch?v=9v2a6SIjMdw,0.012979,0.012580,0.006735,0.500894,0.975509,88.324590,2024-10-19 14:27:08,319,0.0193,1029.0000,0.0221,53284,1029,0,147,1176,62661984
Xi Hails Olympians for Winning Glory for Country,https://www.youtube.com/watch?v=4edsemUpm-8,0.024156,0.012474,0.001655,0.501285,4.459910,406.849087,2024-08-21 01:59:58,359,0.0192,5166.0000,0.0219,269657,5166,0,745,5911,1593942527
LIVE: Airshow China 2022 -- Aerobatics Performance & Ground Equipment Maneuver Demonstration,https://www.youtube.com/watch?v=OmmkiEBhsm4,0.011646,0.012789,0.013966,0.499116,0.169638,15.779344,2022-11-08 07:26:52,19570,0.0209,434.0000,0.0215,20743,434,0,11,445,9230635
Xi Meets German Chancellor in Beijing,https://www.youtube.com/watch?v=nztAH8WnUH8,0.010723,0.013077,0.021730,0.498990,1.281315,120.333749,2026-02-25 14:44:27,314,0.0193,254.0000,0.0212,13148,254,0,25,279,3668292
LIVE: China's Launch of Chang'e-6 Lunar Probe,https://www.youtube.com/watch?v=WpDd8VFHXf8,0.013016,0.012629,0.006680,0.499737,0.687458,65.250268,2024-05-03 11:11:34,7848,0.0206,1039.0000,0.0211,50400,1039,0,22,1061,53474400
