Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
[EURONAVAL 2022] This is PA-Ng,https://www.youtube.com/watch?v=7SlgOwEOxvU,0.011269,0.010009,0.026385,0.499018,0.090698,10.001652,2022-10-24 08:56:58,38,0.0151,200.0000,0.0181,13288,200,0,40,240,3189120
Innovate today to conquer tomorrow,https://www.youtube.com/watch?v=zA9P5Rl3ogg,0.009366,0.010867,0.119007,0.482143,0.007348,0.786272,2021-03-26 18:13:47,338,0.0180,27.0000,0.0180,1498,27,0,0,27,40446
[BEST OF 2021] Retour sur les faits marquants de l'année 2021,https://www.youtube.com/watch?v=NAy0ymbEgFg,0.010687,0.010583,0.034705,0.496925,0.046837,5.182032,2022-01-24 15:37:30,333,0.0171,142.0000,0.0180,8298,142,0,7,149,1236402
"Retour sur le chantier du Tonnant, premier ex-SNLE français déconstruit par Naval Group",https://www.youtube.com/watch?v=vT0RlZY-wJs,0.011180,0.010230,0.027383,0.497995,0.056124,6.361630,2021-06-04 17:33:47,343,0.0164,191.0000,0.0176,11675,191,0,14,205,2393375
"Règles d’or SSTE – vigilance partagée, coactivité et balisage",https://www.youtube.com/watch?v=KeVL1wsXewU,0.008876,0.010665,0.230259,0.450000,0.007957,0.817936,2024-09-23 13:00:35,48,0.0175,9.0000,0.0175,514,9,0,0,9,4626
[ EURONAVAL 2020 ] Gyroscope 2/3 - The evolution of naval plateforms,https://www.youtube.com/watch?v=y4TuNtxo178,0.008884,0.010514,0.197304,0.461538,0.003155,0.333910,2020-10-22 12:27:07,992,0.0174,12.0000,0.0174,688,12,0,0,12,8256
Portrait métier - Juliette - Chaudronnière,https://www.youtube.com/watch?v=nFO4JUQADEA,0.008924,0.010524,0.154970,0.473684,0.010345,1.129291,2023-12-08 16:16:11,88,0.0174,18.0000,0.0174,1037,18,0,0,18,18666
"Delivery Ceremony of Al Emarat, second Gowind corvette for the UAE Navy",https://www.youtube.com/watch?v=xI3bGoD594U,0.012038,0.010187,0.021661,0.498587,0.194068,22.376782,2024-07-10 14:10:10,140,0.0162,255.0000,0.0173,15739,255,0,17,272,4281008
[METIERS] Expert en cybersécurité,https://www.youtube.com/watch?v=cSotBGBYDVE,0.008955,0.010365,0.122068,0.481481,0.006424,0.719444,2020-09-11 07:55:12,141,0.0172,26.0000,0.0172,1512,26,0,0,26,39312
[#Innovation] l’autonomie décisionnelle contrôlée,https://www.youtube.com/watch?v=Sz97fRF6NgU,0.008812,0.010379,0.154970,0.473684,0.009751,1.078732,2023-10-13 15:52:56,164,0.0171,18.0000,0.0171,1051,18,0,0,18,18918
Performance des solutions composites,https://www.youtube.com/watch?v=7E_cXfslINc,0.008907,0.010228,0.108304,0.484375,0.009394,1.073853,2021-10-14 17:47:48,88,0.0169,31.0000,0.0169,1829,31,0,0,31,56699
Rejoignez Naval Group. Construisez le naval de défense de demain.,https://www.youtube.com/watch?v=CLEFcFLH7PU,0.008769,0.010186,0.128755,0.480000,0.008359,0.951591,2022-05-10 13:30:41,131,0.0169,24.0000,0.0169,1423,24,0,0,24,34152
[EURONAVAL 2022] ⚓️ DAY 2. Throwback.,https://www.youtube.com/watch?v=luBQs7wphik,0.008705,0.009956,0.101581,0.485953,0.013502,1.571501,2022-10-19 19:59:40,139,0.0162,34.0000,0.0167,2095,34,0,1,35,73325
[#DRONES] Essai du démonstrateur du SDAM depuis la FREMM Provence,https://www.youtube.com/watch?v=SaoSKzwvUWo,0.009130,0.009632,0.053740,0.494650,0.047156,5.609417,2023-11-02 15:57:51,62,0.0151,81.0000,0.0166,5353,81,0,8,89,476417
⚓🎬 Talents étonnants – épisode 18 : chaudronnier tôlier,https://www.youtube.com/watch?v=2cSCZ_5kjDs,0.008658,0.011222,0.101581,0.485951,0.252384,29.557006,2026-04-03 15:12:20,84,0.0161,34.0000,0.0166,2108,34,0,1,35,73780
Portrait métier - Mathieu - Soudeur,https://www.youtube.com/watch?v=JUllrYxOaVU,0.008557,0.009980,0.132419,0.479167,0.013068,1.522419,2023-12-08 16:16:06,58,0.0165,23.0000,0.0165,1398,23,0,0,23,32154
Start We Up Innovation Challenge in Singapore,https://www.youtube.com/watch?v=YuiWe_fvXkE,0.007918,0.009414,0.259930,0.437500,0.001577,0.176627,2019-07-04 12:47:43,186,0.0156,7.0000,0.0156,448,7,0,0,7,3136
Les voeux de Pierre Éric Pommellet pour 2022,https://www.youtube.com/watch?v=Pd83Ec7L-aE,0.007673,0.008827,0.119007,0.483150,0.009876,1.225182,2022-01-05 18:50:50,212,0.0136,27.0000,0.0156,1985,27,0,4,31,61535
⚓🎬 Talents étonnants – épisode 6 : chargé d’études structures,https://www.youtube.com/watch?v=6Zza3PlJdtw,0.008040,0.009535,0.144977,0.476190,0.026696,3.287398,2025-05-16 15:11:45,125,0.0155,20.0000,0.0155,1293,20,0,0,20,25860
⚓🎬 Talents étonnants – épisode 8 : opérateur fabrication additive,https://www.youtube.com/watch?v=qRKVBWbJyQA,0.007754,0.009381,0.217990,0.454545,0.014460,1.729893,2025-05-29 13:59:43,84,0.0152,10.0000,0.0152,658,10,0,0,10,6580
[EURONAVAL] Throwback,https://www.youtube.com/watch?v=u7uiUEnO3Mg,0.007474,0.008704,0.149787,0.475369,0.007908,1.021316,2022-10-25 06:06:40,100,0.0140,19.0000,0.0147,1356,19,0,1,20,27120
[EURONAVAL 2022] Introducing Blue Shark,https://www.youtube.com/watch?v=Xf6LCwh441o,0.026714,0.008515,0.006274,0.500236,0.464030,62.872424,2022-10-24 08:58:41,235,0.0134,1118.0000,0.0147,83531,1118,0,114,1232,102910192
